"SchoolPeriod","Artist","Plays"
"11th Grade","Ed Sheeran",680
"10th Grade","Nicky Jam",564
"12th Grade","Nidza Bleja",468
"10th-11th Summer","Ed Sheeran",452
"12th Grade","Quinn XCII",444
"11th Grade","Billie Eilish",389
"Freshman-Sophomore Summer","Billie Eilish",334
"Sophomore Year","Billie Eilish",330
"10th Grade","The Piano Guys",318
"11th-12th Summer","Quinn XCII",308
"Sophomore Year","Jeremy Zucker",302
"11th Grade","Khalid",301
"Sophomore-Junior Summer","ODESZA",281
"Sophomore Year","Mac Miller",280
"Freshman Year","Jeremy Zucker",271
"12th-Freshman Summer","Jeremy Zucker",246
"12th Grade","Jeremy Zucker",235
"12th Grade","Billie Eilish",234
"Sophomore Year","ODESZA",233
"Sophomore Year","The Piano Guys",230
"Sophomore Year","Sleeping At Last",228
"11th Grade","Nicky Jam",220
"12th Grade","Mauve",220
"12th Grade","Jon Bellion",214
"Sophomore Year","Khalid",213
"12th-Freshman Summer","The Weeknd",206
"Freshman Year","Billie Eilish",203
"12th Grade","Ed Sheeran",194
"9th Grade","The Weeknd",188
"12th Grade","Oh Wonder",186
"Sophomore Year","SYML",172
"11th Grade","Russ",170
"Freshman Year","Mauve",169
"11th Grade","The Piano Guys",166
"12th Grade","Khalid",166
"Sophomore Year","Labrinth",164
"Freshman-Sophomore Summer","Jeremy Zucker",163
"Sophomore Year","KSHMR",161
"12th-Freshman Summer","Quinn XCII",160
"10th Grade","Maluma",157
"Freshman Year","Quinn XCII",157
"11th Grade","CNCO",152
"12th-Freshman Summer","Khalid",148
"Freshman Year","The Weeknd",148
"Sophomore Year","Quinn XCII",147
"Sophomore-Junior Summer","The Weeknd",147
"11th Grade","Maluma",143
"11th Grade","Jeremy Zucker",142
"Sophomore Year","The Weeknd",141
"12th-Freshman Summer","Kid Cudi",140
"10th Grade","Ed Sheeran",139
"Sophomore Year","Ed Sheeran",139
"12th-Freshman Summer","Billie Eilish",134
"12th-Freshman Summer","Mauve",134
"Sophomore-Junior Summer","SYML",134
"Sophomore Year","San Holo",133
"Sophomore Year","Pritam",130
"Freshman Year","Pink Sweat$",129
"Sophomore-Junior Summer","Lofi Fruits Music",127
"Sophomore-Junior Summer","Post Malone",127
"12th Grade","Herdis Stefansdottir",125
"Sophomore-Junior Summer","Billie Eilish",124
"Freshman Year","Pritam",121
"Freshman Year","Kid Cudi",120
"Freshman Year","Daniel Caesar",119
"Sophomore Year","Daniel Caesar",117
"Freshman Year","Ludovico Einaudi",116
"12th Grade","Lauv",115
"12th Grade","Bazzi",111
"Sophomore Year","Jai Wolf",111
"Freshman Year","Masego",109
"11th Grade","Mitch James",104
"12th Grade","Russ",103
"12th-Freshman Summer","Lolo Zouai",101
"Freshman Year","Lofi Fruits Music",101
"Sophomore Year","Pink Sweat$",101
"12th Grade","Maroon 5",100
"Freshman Year","Bruno Major",100
"Freshman-Sophomore Summer","Pritam",100
"11th Grade","Lauv",99
"Sophomore Year","Petit Biscuit",99
"Freshman Year","Shoffy",98
"11th Grade","James TW",96
"Freshman Year","Khalid",96
"Sophomore Year","Giveon",96
"10th Grade","Jeremy Zucker",95
"11th Grade","ODESZA",94
"Sophomore Year","Novo Amor",94
"12th-Freshman Summer","Sarcastic Sounds",93
"Sophomore Year","ILLENIUM",93
"Sophomore-Junior Summer","The Piano Guys",93
"11th Grade","Metro Boomin",92
"Freshman-Sophomore Summer","Louis The Child",91
"11th Grade","XXXTENTACION",90
"Freshman Year","Frank Ocean",90
"11th-12th Summer","Jeremy Zucker",89
"12th-Freshman Summer","Shoffy",89
"Sophomore Year","Frank Ocean",89
"Sophomore Year","James Blake",89
"Sophomore-Junior Summer","Giveon",89
"10th Grade","Kygo",88
"12th Grade","blackbear",88
"11th Grade","Sasha Alex Sloan",87
"Sophomore Year","Ollie MN",86
"Sophomore-Junior Summer","Sleeping At Last",86
"11th Grade","Rihanna",85
"11th Grade","Peaceful Pianos",84
"Freshman Year","Ed Sheeran",84
"Freshman-Sophomore Summer","Quinn XCII",84
"Sophomore Year","Mauve",84
"Sophomore-Junior Summer","Daniel Caesar",84
"11th Grade","Jason Mraz",83
"12th-Freshman Summer","Avicii",83
"Freshman-Sophomore Summer","Ed Sheeran",83
"Sophomore Year","Faime",83
"Sophomore-Junior Summer","Disney Peaceful Piano",83
"11th Grade","Ariana Grande",82
"12th Grade","Post Malone",81
"Freshman Year","Petit Biscuit",81
"Sophomore Year","Shallou",81
"11th Grade","6LACK",80
"Sophomore Year","Louis The Child",80
"Sophomore Year","Ludovico Einaudi",80
"Freshman Year","Kamal.",79
"Freshman Year","Sarcastic Sounds",79
"Freshman Year","Mac Miller",78
"Sophomore-Junior Summer","Jeremy Zucker",78
"11th-12th Summer","Oh Wonder",77
"Freshman Year","Jaden",77
"Sophomore Year","Emmit Fenn",77
"Sophomore-Junior Summer","Ludovico Einaudi",77
"Sophomore Year","Shoffy",76
"Sophomore Year","Post Malone",75
"Freshman-Sophomore Summer","Jai Wolf",74
"Sophomore-Junior Summer","Ed Sheeran",74
"11th-12th Summer","Ed Sheeran",73
"12th-Freshman Summer","SAINt JHN",73
"Sophomore Year","Lost Kings",73
"Sophomore-Junior Summer","Pritam",73
"12th-Freshman Summer","Chelsea Cutler",72
"12th-Freshman Summer","Pedro Capo",72
"12th Grade","DuyVu",70
"Sophomore Year","Jaden",70
"Sophomore Year","Oh Wonder",69
"Sophomore-Junior Summer","Quinn XCII",69
"Freshman Year","Kasbo",68
"Freshman Year","SYML",68
"11th Grade","Dean Lewis",67
"10th-11th Summer","Kygo",66
"11th Grade","ayokay",66
"12th Grade","Lil Ca$h Machine",66
"12th Grade","The Weeknd",66
"Freshman Year","Lolo Zouai",66
"Freshman Year","RINI",66
"Sophomore Year","Aries",66
"11th Grade","Borgeous",65
"11th Grade","Martin Garrix",65
"12th Grade","Train",65
"12th-Freshman Summer","Akon",65
"Sophomore-Junior Summer","Mac Miller",65
"12th Grade","Ninho",64
"Freshman Year","Lauv",64
"Freshman-Sophomore Summer","Mauve",64
"Freshman Year","Giveon",63
"Freshman-Sophomore Summer","The Weeknd",63
"12th-Freshman Summer","Juice WRLD",62
"Freshman Year","The Kid LAROI",62
"Sophomore Year","yaeow",62
"11th Grade","Hollow Coves",61
"Freshman Year","Joji",61
"Freshman Year","Kanye West",61
"Freshman-Sophomore Summer","Kanye West",61
"Freshman-Sophomore Summer","Ludovico Einaudi",61
"Sophomore Year","Bruno Major",61
"Sophomore Year","Kamal.",61
"10th Grade","Daddy Yankee",60
"11th Grade","Sia",60
"Sophomore Year","Lofi Fruits Music",60
"11th Grade","Alec Benjamin",59
"11th Grade","Shawn Mendes",59
"11th Grade","Tyler and Mark",59
"12th Grade","Neelson Macias",59
"12th Grade","XXXTENTACION",59
"Freshman-Sophomore Summer","SYML",59
"Sophomore Year","Lauv",59
"11th Grade","Bazzi",58
"12th Grade","ayokay",58
"Freshman Year","keshi",58
"Sophomore Year","Herdis Stefansdottir",58
"Sophomore Year","Miro",58
"12th-Freshman Summer","Bruno Major",57
"Freshman Year","Maluma",57
"Freshman Year","Oh Wonder",57
"Freshman-Sophomore Summer","Lofi Fruits Music",57
"Sophomore Year","Shawn Mendes",57
"12th-Freshman Summer","Bazzi",56
"Freshman-Sophomore Summer","Mac Miller",56
"Freshman-Sophomore Summer","Shoffy",56
"Sophomore Year","SRTW",56
"Sophomore-Junior Summer","Khalid",56
"11th Grade","James Arthur",54
"12th Grade","AJ Mitchell",54
"Freshman-Sophomore Summer","ILLENIUM",54
"Sophomore Year","Gryffin",54
"12th-Freshman Summer","Jon Bellion",53
"12th-Freshman Summer","Takagi & Ketra",53
"12th Grade","PRETTYMUCH",52
"Sophomore Year","Joji",52
"10th Grade","James Arthur",51
"10th-11th Summer","XXXTENTACION",51
"11th Grade","Calum Scott",51
"12th Grade","Ali Gatie",51
"12th Grade","Bryce Vine",51
"12th Grade","Pedro Capo",51
"12th Grade","Rafael El Ninos",51
"9th Grade","Yiruma",51
"Freshman-Sophomore Summer","ODESZA",51
"11th Grade","Pedro Capo",50
"12th Grade","Alec Benjamin",50
"12th Grade","Kygo",50
"12th Grade","Whethan",50
"Freshman Year","Jon Bellion",50
"Freshman Year","SRTW",50
"Freshman Year","UMI",50
"Sophomore Year","FINNEAS",50
"Sophomore Year","Kygo",50
"10th Grade","J Balvin",49
"11th Grade","PRETTYMUCH",49
"12th Grade","Nicky Jam",49
"12th-Freshman Summer","A R I Z O N A",49
"12th-Freshman Summer","CNCO",49
"Freshman-Sophomore Summer","Arijit Singh",49
"Sophomore Year","James Arthur",49
"11th Grade","Why Don't We",48
"11th-12th Summer","Whethan",48
"9th-10th Summer","The Weeknd",48
"Freshman Year","Lewis Capaldi",48
"Freshman Year","Rex Orange County",48
"Freshman Year","SAINt JHN",48
"Freshman-Sophomore Summer","Khalid",48
"Sophomore Year","Sarcastic Sounds",48
"Sophomore Year","The Cinematic Orchestra",48
"Sophomore-Junior Summer","KSHMR",48
"10th Grade","Martin Garrix",47
"11th-12th Summer","Billie Eilish",47
"12th Grade","Lewis Capaldi",47
"Freshman Year","The Piano Guys",47
"Freshman-Sophomore Summer","Jaden",47
"Sophomore Year","Pentatonix",47
"12th Grade","James TW",46
"12th-Freshman Summer","Matter and Energy",46
"Freshman Year","Bazzi",46
"Freshman Year","Nicky Jam",46
"Freshman-Sophomore Summer","Petit Biscuit",46
"Freshman-Sophomore Summer","Pink Sweat$",46
"Sophomore-Junior Summer","Kid Cudi",46
"10th-11th Summer","Jeremy Zucker",45
"12th Grade","Takagi & Ketra",45
"12th-Freshman Summer","OneRepublic",45
"12th-Freshman Summer","Pritam",45
"Freshman Year","Kina",45
"Freshman Year","Russ",45
"Freshman-Sophomore Summer","Lauv",45
"Sophomore Year","Anson Seabra",45
"Sophomore-Junior Summer","Emmit Fenn",45
"Sophomore-Junior Summer","Flume",45
"Sophomore-Junior Summer","San Holo",45
"11th Grade","KYLE",44
"11th Grade","R3HAB",44
"12th Grade","Jason Mraz",44
"12th Grade","Luna Meguise",44
"Freshman Year","Rochak Kohli",44
"Freshman-Sophomore Summer","R3HAB",44
"Sophomore Year","Hans Zimmer",44
"Sophomore Year","SZA",44
"Sophomore-Junior Summer","ILLENIUM",44
"Sophomore-Junior Summer","Kanye West",44
"10th-11th Summer","Drake",43
"10th-11th Summer","Travis Scott",43
"11th Grade","Juke Ross",43
"11th Grade","Kygo",43
"11th Grade","Post Malone",43
"12th Grade","Alan Walker",43
"12th Grade","CNCO",43
"12th Grade","The Piano Guys",43
"Freshman Year","Lucky Daye",43
"Freshman-Sophomore Summer","Kygo",43
"Sophomore Year","Alan Walker",43
"Sophomore-Junior Summer","Kendrick Lamar",43
"12th Grade","Drake",42
"12th Grade","Dreamscaper",42
"12th Grade","James Arthur",42
"12th-Freshman Summer","Alina Baraz",42
"12th-Freshman Summer","Ed Sheeran",42
"12th-Freshman Summer","Luna Meguise",42
"12th-Freshman Summer","Mau y Ricky",42
"Freshman Year","James Blake",42
"Sophomore Year","Kina",42
"10th-11th Summer","Khalid",41
"12th-Freshman Summer","Kanye West",41
"12th-Freshman Summer","Lauv",41
"Freshman Year","Drake",41
"Freshman Year","L.Dre",41
"Freshman Year","Tom Shea",41
"Freshman-Sophomore Summer","Patrick Watson",41
"Sophomore Year","EMBRZ",41
"Sophomore Year","Kanye West",41
"Sophomore-Junior Summer","Labrinth",41
"11th Grade","Finding Hope",40
"11th Grade","Noah Kahan",40
"11th Grade","Oh Wonder",40
"11th-12th Summer","Bazzi",40
"12th Grade","Chelsea Cutler",40
"12th Grade","Christian French",40
"12th-Freshman Summer","fun.",40
"Freshman Year","Justin Bieber",40
"Freshman Year","Nujabes",40
"Freshman-Sophomore Summer","James Blake",40
"Freshman-Sophomore Summer","Oh Wonder",40
"Freshman-Sophomore Summer","The Piano Guys",40
"Sophomore Year","Coldplay",40
"Sophomore Year","Kid Cudi",40
"Sophomore Year","Weston Estate",40
"Sophomore-Junior Summer","Alan Menken",40
"11th Grade","LANY",39
"12th Grade","Avicii",39
"12th Grade","DJomla KS",39
"12th Grade","Jake Nilson",39
"12th Grade","Rand Aldo",39
"Freshman Year","ILLENIUM",39
"Sophomore Year","Masego",39
"Sophomore Year","RL Grime",39
"Sophomore Year","Sam Smith",39
"Sophomore-Junior Summer","Miguel",39
"10th Grade","Julia Michaels",38
"10th Grade","Marshmello",38
"10th-11th Summer","Borgeous",38
"10th-11th Summer","ODESZA",38
"11th Grade","Julia Michaels",38
"11th Grade","MAX",38
"11th Grade","ZAYN",38
"12th Grade","Big Sean",38
"12th Grade","Gryffin",38
"12th Grade","ILLENIUM",38
"12th-Freshman Summer","Bastille",38
"12th-Freshman Summer","Neon Trees",38
"Freshman Year","Shawn Mendes",38
"Freshman-Sophomore Summer","Kamal.",38
"Freshman-Sophomore Summer","Kid Cudi",38
"Freshman-Sophomore Summer","Sarcastic Sounds",38
"Freshman-Sophomore Summer","Tiesto",38
"Sophomore Year","A R I Z O N A",38
"Sophomore Year","Atif Aslam",38
"Sophomore Year","Bazzi",38
"Sophomore-Junior Summer","Frank Ocean",38
"Sophomore-Junior Summer","Jai Wolf",38
"10th-11th Summer","Nicky Jam",37
"11th Grade","Daddy Yankee",37
"11th Grade","Hozier",37
"11th Grade","Jonas Blue",37
"11th Grade","Tom Odell",37
"11th-12th Summer","Lauv",37
"12th Grade","Nikolas Rhonda",37
"12th Grade","Otto A. Totland",37
"12th-Freshman Summer","Bryce Vine",37
"12th-Freshman Summer","Calvin Harris",37
"12th-Freshman Summer","Oh Wonder",37
"12th-Freshman Summer","keshi",37
"9th-10th Summer","J Balvin",37
"Freshman Year","Chelsea Cutler",37
"Freshman Year","Israel Kamakawiwo'ole",37
"Freshman Year","SiR",37
"Freshman Year","Sid Sriram",37
"Freshman-Sophomore Summer","Giveon",37
"Sophomore Year","Arijit Singh",37
"Sophomore Year","Miguel",37
"Sophomore Year","The Chainsmokers",37
"Sophomore Year","mehro",37
"Sophomore-Junior Summer","Mauve",37
"10th-11th Summer","Jason Mraz",36
"11th Grade","Avicii",36
"11th Grade","Kevin Garrett",36
"11th Grade","Lewis Watson",36
"11th-12th Summer","Alvaro Soler",36
"11th-12th Summer","Shawn Mendes",36
"12th Grade","Surfaces",36
"12th-Freshman Summer","Alan Walker",36
"12th-Freshman Summer","Arlette Leduc",36
"12th-Freshman Summer","Train",36
"Freshman Year","6LACK",36
"Freshman Year","Bakermat",36
"Freshman Year","ODESZA",36
"Freshman Year","Universo",36
"Freshman Year","Verzache",36
"Freshman-Sophomore Summer","Faime",36
"Freshman-Sophomore Summer","Frank Ocean",36
"Freshman-Sophomore Summer","SRTW",36
"Sophomore Year","Kasbo",36
"Sophomore Year","Lewis Capaldi",36
"Sophomore Year","ODIE",36
"Sophomore Year","Patrick Watson",36
"Sophomore Year","RINI",36
"10th Grade","VAX",35
"11th Grade","JP Cooper",35
"11th Grade","Ruel",35
"12th Grade","Andy Grammer",35
"12th Grade","MAX",35
"12th-Freshman Summer","Ellie Goulding",35
"12th-Freshman Summer","Lewis Capaldi",35
"Freshman Year","Sasha Alex Sloan",35
"Freshman-Sophomore Summer","Avicii",35
"Sophomore Year","ZAYN",35
"Sophomore-Junior Summer","Louis The Child",35
"Sophomore-Junior Summer","Novo Amor",35
"10th Grade","Lauv",34
"11th Grade","Kanye West",34
"11th Grade","Luis Fonsi",34
"11th Grade","VAX",34
"11th-12th Summer","A R I Z O N A",34
"12th Grade","Joseph McGrahl",34
"12th Grade","LUCHS",34
"Freshman Year","Kaskade",34
"Freshman Year","Kygo",34
"Freshman Year","Pedro Capo",34
"Sophomore Year","Chelsea Cutler",34
"Sophomore Year","Justin Bieber",34
"Sophomore-Junior Summer","Kasbo",34
"11th Grade","Alan Walker",33
"11th Grade","David Guetta",33
"11th Grade","Fuse ODG",33
"11th Grade","John Adams",33
"11th Grade","Lukas Graham",33
"11th Grade","Mat Kearney",33
"11th Grade","Quinn XCII",33
"12th Grade","Justin Bieber",33
"12th Grade","Ruel",33
"12th Grade","SRTW",33
"12th-Freshman Summer","Anson Seabra",33
"12th-Freshman Summer","Dilaz",33
"12th-Freshman Summer","George Ezra",33
"12th-Freshman Summer","Imagine Dragons",33
"12th-Freshman Summer","Mac Miller",33
"Freshman Year","Naturally Recurring",33
"Freshman Year","Sleepy Clouds",33
"Freshman-Sophomore Summer","Atif Aslam",33
"Freshman-Sophomore Summer","Calvin Harris",33
"Freshman-Sophomore Summer","Martin Garrix",33
"Sophomore Year","Alok",33
"Sophomore Year","Lolo Zouai",33
"Sophomore-Junior Summer","Petit Biscuit",33
"11th Grade","A R I Z O N A",32
"11th Grade","The Chainsmokers",32
"11th-12th Summer","The Chainsmokers",32
"12th Grade","Hushed",32
"12th Grade","One Direction",32
"12th Grade","Rihanna",32
"12th-Freshman Summer","Louis The Child",32
"Freshman Year","88rising",32
"Freshman Year","Gemma Casimaty",32
"Freshman-Sophomore Summer","Daniel Caesar",32
"Freshman-Sophomore Summer","Masego",32
"Sophomore Year","Yiruma",32
"10th Grade","Axwell /\ Ingrosso",31
"10th Grade","Billie Eilish",31
"10th Grade","Cheat Codes",31
"11th Grade","Anson Seabra",31
"11th Grade","Elephante",31
"11th Grade","John Mayer",31
"11th Grade","King Princess",31
"11th Grade","blackbear",31
"12th Grade","Imagine Dragons",31
"12th Grade","Josep Alba",31
"12th Grade","Lacrim",31
"12th Grade","Mitch James",31
"12th Grade","Naturally Recurring",31
"12th Grade","OneRepublic",31
"12th-Freshman Summer","Dominic Fike",31
"12th-Freshman Summer","Fuse ODG",31
"12th-Freshman Summer","Josep Alba",31
"12th-Freshman Summer","Kygo",31
"12th-Freshman Summer","Maluma",31
"12th-Freshman Summer","Nicky Jam",31
"12th-Freshman Summer","Rihanna",31
"12th-Freshman Summer","Vance Joy",31
"Freshman Year","A R I Z O N A",31
"Freshman Year","Arijit Singh",31
"Freshman Year","Cali Y El Dandee",31
"Freshman-Sophomore Summer","Anson Seabra",31
"Freshman-Sophomore Summer","Kasbo",31
"Sophomore Year","Alexander 23",31
"Sophomore Year","Peach Tree Rascals",31
"Sophomore-Junior Summer","Shoffy",31
"10th Grade","Bedtime Instrumental Piano Music Academy",30
"10th Grade","The Weeknd",30
"10th-11th Summer","Martin Garrix",30
"11th Grade","Bruno Mars",30
"11th-12th Summer","Broken Back",30
"11th-12th Summer","Chelsea Cutler",30
"11th-12th Summer","Nicky Jam",30
"11th-12th Summer","The Piano Guys",30
"12th Grade","AJR",30
"12th Grade","Bruno Mars",30
"12th Grade","LawKu",30
"12th Grade","Limited Tym",30
"12th Grade","Lola Fernando",30
"12th Grade","Matilda Charpie",30
"12th Grade","Purple Tower",30
"12th Grade","Shawn Mendes",30
"12th-Freshman Summer","Bryant Myers",30
"12th-Freshman Summer","Christian French",30
"12th-Freshman Summer","Gym Class Heroes",30
"12th-Freshman Summer","PRETTYMUCH",30
"12th-Freshman Summer","Pink Sweat$",30
"12th-Freshman Summer","Russ",30
"12th-Freshman Summer","blackbear",30
"Freshman Year","Alexander 23",30
"Freshman Year","Big Sean",30
"Freshman Year","CNCO",30
"Freshman Year","Clyde Boudreaux",30
"Freshman Year","George Ezra",30
"Freshman Year","Lori Dulac",30
"Freshman Year","Noah Cyrus",30
"Sophomore Year","Agnes Obel",30
"Sophomore Year","Grant",30
"Sophomore-Junior Summer","Joji",30
"Sophomore-Junior Summer","SRTW",30
"Sophomore-Junior Summer","SZA",30
"10th Grade","Beyonce",29
"11th Grade","James Bay",29
"11th Grade","Mike Perry",29
"11th Grade","Naughty Boy",29
"11th Grade","The Weeknd",29
"11th-12th Summer","Avicii",29
"12th Grade","Julius Aston",29
"12th Grade","Martin Garrix",29
"12th Grade","Matter and Energy",29
"12th Grade","Thomas Newman",29
"12th Grade","Travis Scott",29
"12th Grade","Yolta",29
"12th Grade","lovelytheband",29
"12th-Freshman Summer","Daniel Caesar",29
"12th-Freshman Summer","Dreamscaper",29
"12th-Freshman Summer","Sven Stierna",29
"Freshman Year","Surfaces",29
"Freshman Year","Travis Scott",29
"Freshman Year","Vas Bela",29
"Freshman Year","Vishal-Shekhar",29
"Freshman Year","Zaeden",29
"Sophomore Year","Fiji Blue",29
"Sophomore Year","Glass Animals",29
"Sophomore Year","The Beatles",29
"Sophomore Year","keshi",29
"Sophomore-Junior Summer","Sia",29
"10th Grade","Post Malone",28
"10th Grade","Rihanna",28
"10th Grade","Selena Gomez",28
"11th Grade","Daniel Schulz",28
"11th Grade","Ellie Goulding",28
"11th Grade","Maisie Peters",28
"11th Grade","Party Favor",28
"11th Grade","Sam Smith",28
"11th-12th Summer","Khalid",28
"12th Grade","6LACK",28
"12th Grade","A R I Z O N A",28
"12th Grade","Chris Brown",28
"12th Grade","Neutral Commitment",28
"12th Grade","Tones And I",28
"12th Grade","Why Don't We",28
"12th-Freshman Summer","Drake",28
"12th-Freshman Summer","Leah Maur",28
"Freshman Year","Alan Walker",28
"Freshman Year","Alina Baraz",28
"Freshman Year","Finding Hope",28
"Freshman Year","Idealism",28
"Freshman Year","Rihanna",28
"Freshman Year","Szigeti Aliz",28
"Freshman-Sophomore Summer","Akon",28
"Freshman-Sophomore Summer","Surfaces",28
"Sophomore Year","Dekleyn",28
"Sophomore Year","Johnny Stimson",28
"Sophomore Year","tobi lou",28
"Sophomore-Junior Summer","Arijit Singh",28
"10th Grade","James TW",27
"10th Grade","Luis Fonsi",27
"11th Grade","Halsey",27
"11th Grade","JONES",27
"11th Grade","Kendrick Lamar",27
"11th Grade","Pentatonix",27
"11th Grade","The Spacies",27
"11th Grade","shy martin",27
"12th Grade","Akon",27
"12th Grade","Alicia Keys",27
"12th Grade","Ana Olgica",27
"12th Grade","Daigo Hanada",27
"12th Grade","Deep Inside",27
"12th Grade","Dilaz",27
"12th Grade","Rex Orange County",27
"12th Grade","Rim'K",27
"12th Grade","gnash",27
"12th-Freshman Summer","Coldplay",27
"12th-Freshman Summer","Jiao Ch'ien",27
"12th-Freshman Summer","Matilda Charpie",27
"12th-Freshman Summer","Minik Knudsen",27
"12th-Freshman Summer","Ski Mask The Slump God",27
"12th-Freshman Summer","Travis Scott",27
"Freshman Year","Leah Day",27
"Freshman Year","Matter and Energy",27
"Freshman Year","blackbear",27
"Freshman-Sophomore Summer","Bazzi",27
"Sophomore Year","6LACK",27
"Sophomore Year","Amine",27
"Sophomore Year","BAYNK",27
"Sophomore Year","Jhene Aiko",27
"Sophomore Year","Verzache",27
"Sophomore Year","Vicetone",27
"Sophomore-Junior Summer","James Blake",27
"Sophomore-Junior Summer","Pink Sweat$",27
"Sophomore-Junior Summer","fun.",27
"10th Grade","Camila Cabello",26
"10th Grade","Kimberly Anne",26
"10th Grade","Shoffy",26
"10th-11th Summer","Post Malone",26
"11th Grade","6ix9ine",26
"11th Grade","Akon",26
"11th Grade","Five For Fighting",26
"11th Grade","Kina Grannis",26
"11th Grade","Lewis Capaldi",26
"11th Grade","Marnik",26
"12th Grade","Dean Lewis",26
"12th Grade","Ebb & Flod",26
"12th Grade","R3HAB",26
"12th Grade","Roxy Tones",26
"12th Grade","Steven Goldmund",26
"12th Grade","Sven Stierna",26
"12th-Freshman Summer","Far East Movement",26
"12th-Freshman Summer","Good Night World",26
"12th-Freshman Summer","Marshmello",26
"12th-Freshman Summer","Vas Bela",26
"Freshman Year","Bryce Vine",26
"Freshman Year","Gyr",26
"Freshman Year","Jinsang",26
"Freshman Year","Luca",26
"Freshman Year","Mac Ayres",26
"Freshman Year","Martin Garrix",26
"Freshman Year","Nohidea",26
"Freshman Year","SZA",26
"Freshman Year","Scintillante",26
"Freshman Year","Universal Balance",26
"Freshman-Sophomore Summer","David Guetta",26
"Freshman-Sophomore Summer","Gryffin",26
"Freshman-Sophomore Summer","Pitbull",26
"Sophomore Year","Alina Baraz",26
"Sophomore Year","Big Sean",26
"Sophomore Year","Jon Bellion",26
"Sophomore Year","OneRepublic",26
"Sophomore Year","Stanislav Gallin",26
"Sophomore-Junior Summer","Drake",26
"10th Grade","Great Good Fine Ok",25
"10th Grade","Nightcall",25
"11th Grade","Ex-poets",25
"11th Grade","Holmsey",25
"11th Grade","JT Roach",25
"11th Grade","Jack Johnson",25
"11th Grade","Jome",25
"11th Grade","OneRepublic",25
"11th Grade","Robin Schulz",25
"11th Grade","Tyler Ward",25
"11th Grade","Zonoma",25
"11th Grade","alayna",25
"11th Grade","bulow",25
"12th Grade","Bastille",25
"12th Grade","Fuse ODG",25
"12th Grade","Kanye West",25
"12th Grade","MVS",25
"12th Grade","SAINt JHN",25
"12th Grade","Sam Smith",25
"12th Grade","Tejal Yann",25
"12th Grade","The Chainsmokers",25
"12th-Freshman Summer","Anuel AA",25
"12th-Freshman Summer","Artura Ponce Valles",25
"12th-Freshman Summer","Harry Styles",25
"12th-Freshman Summer","John Ocean",25
"12th-Freshman Summer","LEON",25
"12th-Freshman Summer","MGMT",25
"12th-Freshman Summer","Moon Laika",25
"12th-Freshman Summer","Rosa Lovstrom",25
"12th-Freshman Summer","Scintillante",25
"12th-Freshman Summer","Surfaces",25
"12th-Freshman Summer","UMI",25
"12th-Freshman Summer","Yonder Dale",25
"Freshman Year","Avicii",25
"Freshman Year","Erik Satie",25
"Freshman Year","H.E.R.",25
"Freshman Year","Pentatonix",25
"Freshman Year","Sam Smith",25
"Freshman-Sophomore Summer","Chelsea Cutler",25
"Freshman-Sophomore Summer","Drake",25
"Freshman-Sophomore Summer","Post Malone",25
"Freshman-Sophomore Summer","Vishal-Shekhar",25
"Sophomore Year","BETWEEN FRIENDS",25
"Sophomore-Junior Summer","Shallou",25
"10th Grade","Daniel Schulz",24
"10th Grade","SAFE",24
"10th-11th Summer","Conor Maynard",24
"10th-11th Summer","Lauv",24
"11th Grade","Anne-Marie",24
"11th Grade","Ashe",24
"11th Grade","Chris Burton",24
"11th Grade","Danny Ocean",24
"11th Grade","Enrique Iglesias",24
"11th Grade","Mark Diamond",24
"11th Grade","Tinlicker",24
"12th Grade","BANNERS",24
"12th Grade","Bela Nemeth",24
"12th Grade","Dominic Fike",24
"12th Grade","Gavin Luke",24
"12th Grade","Max Richter",24
"12th Grade","Moon Laika",24
"12th Grade","P!nk",24
"12th Grade","Sub Urban",24
"12th Grade","ZAYN",24
"12th-Freshman Summer","Frank Ocean",24
"12th-Freshman Summer","Gemma Casimaty",24
"12th-Freshman Summer","Johann Eder",24
"12th-Freshman Summer","Lofi Fruits Music",24
"12th-Freshman Summer","Naturally Recurring",24
"12th-Freshman Summer","Noah Cyrus",24
"12th-Freshman Summer","SHAED",24
"Freshman Year","Akon",24
"Freshman Year","Gryffin",24
"Freshman Year","Jasleen Royal",24
"Freshman Year","Jason Mraz",24
"Freshman Year","Miguel",24
"Freshman Year","Sabrina Claudio",24
"Freshman Year","Stanislav Gallin",24
"Freshman-Sophomore Summer","6LACK",24
"Freshman-Sophomore Summer","Bruno Major",24
"Freshman-Sophomore Summer","Joji",24
"Freshman-Sophomore Summer","Kina",24
"Freshman-Sophomore Summer","The Chainsmokers",24
"Freshman-Sophomore Summer","Zedd",24
"Sophomore Year","Lucky Daye",24
"Sophomore Year","Nicky Jam",24
"Sophomore Year","Pitbull",24
"Sophomore Year","UMI",24
"Sophomore Year","Zedd",24
"Sophomore Year","blackbear",24
"Sophomore-Junior Summer","Coldplay",24
"Sophomore-Junior Summer","HONNE",24
"Sophomore-Junior Summer","Kygo",24
"Sophomore-Junior Summer","Masego",24
"10th Grade","Khalid",23
"10th-11th Summer","Julia Michaels",23
"11th Grade","Charles Bolt",23
"11th Grade","Clean Bandit",23
"11th Grade","John Paul White",23
"11th Grade","Natalie Taylor",23
"11th Grade","Ruth B.",23
"11th Grade","benny blanco",23
